,Ham_0
0,2.7617676858790983
1,-2.5481610467341933
2,-2.954391910350089
3,-1.4937487118817785
4,-0.19746808236395372
5,-1.381579457188844
6,2.111046165196314
7,2.9685924747053125
8,0.15075112084703143
9,1.7276123677623998
10,-0.532828059700508
11,-2.3594522892309433
12,-1.9977663130218382
13,-2.802398849790528
14,-1.8788121736806807
15,-1.674648282926609
16,1.3823161609208003
17,1.938758599747828
18,-1.8602518778264057
19,0.6773317655583434
20,-0.19632583127990733
