,Ham_0
0,"IIII	(1+0j)
"
1,"XXXY	(1+0j)
"
2,"IYXX	(1+0j)
"
3,"YXIX	(1+0j)
"
4,"ZYZX	(1+0j)
"
5,"IYIX	(1+0j)
"
6,"ZIIY	(1+0j)
"
7,"ZYIZ	(1+0j)
"
8,"IYIZ	(1+0j)
"
9,"XXYI	(1+0j)
"
10,"IIXY	(1+0j)
"
11,"ZIYX	(1+0j)
"
12,"IXYI	(1+0j)
"
13,"YZXI	(1+0j)
"
14,"IZYI	(1+0j)
"
15,"XIZY	(1+0j)
"
16,"YXZI	(1+0j)
"
17,"XYZZ	(1+0j)
"
18,"ZXYZ	(1+0j)
"
19,"YIZI	(1+0j)
"
20,"IZZY	(1+0j)
"
