,names,exp vals
0,IIIIII,1
1,IIIIIX,0
2,IIIIIY,0
3,IIIIIZ,1
4,IIIIXI,0
5,IIIIXX,0
6,IIIIXY,0
7,IIIIXZ,0
8,IIIIYI,0
9,IIIIYX,0
10,IIIIYY,0
11,IIIIYZ,0
12,IIIIZI,1
13,IIIIZX,0
14,IIIIZY,0
15,IIIIZZ,1
16,IIIXII,0
17,IIIXIX,0
18,IIIXIY,0
19,IIIXIZ,0
20,IIIXXI,0
21,IIIXXX,0
22,IIIXXY,0
23,IIIXXZ,0
24,IIIXYI,0
25,IIIXYX,0
26,IIIXYY,0
27,IIIXYZ,0
28,IIIXZI,0
29,IIIXZX,0
30,IIIXZY,0
31,IIIXZZ,0
32,IIIYII,0
33,IIIYIX,0
34,IIIYIY,0
35,IIIYIZ,0
36,IIIYXI,0
37,IIIYXX,0
38,IIIYXY,0
39,IIIYXZ,0
40,IIIYYI,0
41,IIIYYX,0
42,IIIYYY,0
43,IIIYYZ,0
44,IIIYZI,0
45,IIIYZX,0
46,IIIYZY,0
47,IIIYZZ,0
48,IIIZII,1
49,IIIZIX,0
50,IIIZIY,0
51,IIIZIZ,1
52,IIIZXI,0
53,IIIZXX,0
54,IIIZXY,0
55,IIIZXZ,0
56,IIIZYI,0
57,IIIZYX,0
58,IIIZYY,0
59,IIIZYZ,0
60,IIIZZI,1
61,IIIZZX,0
62,IIIZZY,0
63,IIIZZZ,1
64,IIXIII,0
65,IIXIIX,0
66,IIXIIY,0
67,IIXIIZ,0
68,IIXIXI,0
69,IIXIXX,0
70,IIXIXY,0
71,IIXIXZ,0
72,IIXIYI,0
73,IIXIYX,0
74,IIXIYY,0
75,IIXIYZ,0
76,IIXIZI,0
77,IIXIZX,0
78,IIXIZY,0
79,IIXIZZ,0
80,IIXXII,0
81,IIXXIX,0
82,IIXXIY,0
83,IIXXIZ,0
84,IIXXXI,0
85,IIXXXX,0
86,IIXXXY,0
87,IIXXXZ,0
88,IIXXYI,0
89,IIXXYX,0
90,IIXXYY,0
91,IIXXYZ,0
92,IIXXZI,0
93,IIXXZX,0
94,IIXXZY,0
95,IIXXZZ,0
96,IIXYII,0
97,IIXYIX,0
98,IIXYIY,0
99,IIXYIZ,0
100,IIXYXI,0
101,IIXYXX,0
102,IIXYXY,0
103,IIXYXZ,0
104,IIXYYI,0
105,IIXYYX,0
106,IIXYYY,0
107,IIXYYZ,0
108,IIXYZI,0
109,IIXYZX,0
110,IIXYZY,0
111,IIXYZZ,0
112,IIXZII,0
113,IIXZIX,0
114,IIXZIY,0
115,IIXZIZ,0
116,IIXZXI,0
117,IIXZXX,0
118,IIXZXY,0
119,IIXZXZ,0
120,IIXZYI,0
121,IIXZYX,0
122,IIXZYY,0
123,IIXZYZ,0
124,IIXZZI,0
125,IIXZZX,0
126,IIXZZY,0
127,IIXZZZ,0
128,IIYIII,0
129,IIYIIX,0
130,IIYIIY,0
131,IIYIIZ,0
132,IIYIXI,0
133,IIYIXX,0
134,IIYIXY,0
135,IIYIXZ,0
136,IIYIYI,0
137,IIYIYX,0
138,IIYIYY,0
139,IIYIYZ,0
140,IIYIZI,0
141,IIYIZX,0
142,IIYIZY,0
143,IIYIZZ,0
144,IIYXII,0
145,IIYXIX,0
146,IIYXIY,0
147,IIYXIZ,0
148,IIYXXI,0
149,IIYXXX,0
150,IIYXXY,0
151,IIYXXZ,0
152,IIYXYI,0
153,IIYXYX,0
154,IIYXYY,0
155,IIYXYZ,0
156,IIYXZI,0
157,IIYXZX,0
158,IIYXZY,0
159,IIYXZZ,0
160,IIYYII,0
161,IIYYIX,0
162,IIYYIY,0
163,IIYYIZ,0
164,IIYYXI,0
165,IIYYXX,0
166,IIYYXY,0
167,IIYYXZ,0
168,IIYYYI,0
169,IIYYYX,0
170,IIYYYY,0
171,IIYYYZ,0
172,IIYYZI,0
173,IIYYZX,0
174,IIYYZY,0
175,IIYYZZ,0
176,IIYZII,0
177,IIYZIX,0
178,IIYZIY,0
179,IIYZIZ,0
180,IIYZXI,0
181,IIYZXX,0
182,IIYZXY,0
183,IIYZXZ,0
184,IIYZYI,0
185,IIYZYX,0
186,IIYZYY,0
187,IIYZYZ,0
188,IIYZZI,0
189,IIYZZX,0
190,IIYZZY,0
191,IIYZZZ,0
192,IIZIII,1
193,IIZIIX,0
194,IIZIIY,0
195,IIZIIZ,1
196,IIZIXI,0
197,IIZIXX,0
198,IIZIXY,0
199,IIZIXZ,0
200,IIZIYI,0
201,IIZIYX,0
202,IIZIYY,0
203,IIZIYZ,0
204,IIZIZI,1
205,IIZIZX,0
206,IIZIZY,0
207,IIZIZZ,1
208,IIZXII,0
209,IIZXIX,0
210,IIZXIY,0
211,IIZXIZ,0
212,IIZXXI,0
213,IIZXXX,0
214,IIZXXY,0
215,IIZXXZ,0
216,IIZXYI,0
217,IIZXYX,0
218,IIZXYY,0
219,IIZXYZ,0
220,IIZXZI,0
221,IIZXZX,0
222,IIZXZY,0
223,IIZXZZ,0
224,IIZYII,0
225,IIZYIX,0
226,IIZYIY,0
227,IIZYIZ,0
228,IIZYXI,0
229,IIZYXX,0
230,IIZYXY,0
231,IIZYXZ,0
232,IIZYYI,0
233,IIZYYX,0
234,IIZYYY,0
235,IIZYYZ,0
236,IIZYZI,0
237,IIZYZX,0
238,IIZYZY,0
239,IIZYZZ,0
240,IIZZII,1
241,IIZZIX,0
242,IIZZIY,0
243,IIZZIZ,1
244,IIZZXI,0
245,IIZZXX,0
246,IIZZXY,0
247,IIZZXZ,0
248,IIZZYI,0
249,IIZZYX,0
250,IIZZYY,0
251,IIZZYZ,0
252,IIZZZI,1
253,IIZZZX,0
254,IIZZZY,0
255,IIZZZZ,1
256,IXIIII,0
257,IXIIIX,0
258,IXIIIY,0
259,IXIIIZ,0
260,IXIIXI,0
261,IXIIXX,0
262,IXIIXY,0
263,IXIIXZ,0
264,IXIIYI,0
265,IXIIYX,0
266,IXIIYY,0
267,IXIIYZ,0
268,IXIIZI,0
269,IXIIZX,0
270,IXIIZY,0
271,IXIIZZ,0
272,IXIXII,0
273,IXIXIX,0
274,IXIXIY,0
275,IXIXIZ,0
276,IXIXXI,0
277,IXIXXX,0
278,IXIXXY,0
279,IXIXXZ,0
280,IXIXYI,0
281,IXIXYX,0
282,IXIXYY,0
283,IXIXYZ,0
284,IXIXZI,0
285,IXIXZX,0
286,IXIXZY,0
287,IXIXZZ,0
288,IXIYII,0
289,IXIYIX,0
290,IXIYIY,0
291,IXIYIZ,0
292,IXIYXI,0
293,IXIYXX,0
294,IXIYXY,0
295,IXIYXZ,0
296,IXIYYI,0
297,IXIYYX,0
298,IXIYYY,0
299,IXIYYZ,0
300,IXIYZI,0
301,IXIYZX,0
302,IXIYZY,0
303,IXIYZZ,0
304,IXIZII,0
305,IXIZIX,0
306,IXIZIY,0
307,IXIZIZ,0
308,IXIZXI,0
309,IXIZXX,0
310,IXIZXY,0
311,IXIZXZ,0
312,IXIZYI,0
313,IXIZYX,0
314,IXIZYY,0
315,IXIZYZ,0
316,IXIZZI,0
317,IXIZZX,0
318,IXIZZY,0
319,IXIZZZ,0
320,IXXIII,0
321,IXXIIX,0
322,IXXIIY,0
323,IXXIIZ,0
324,IXXIXI,0
325,IXXIXX,0
326,IXXIXY,0
327,IXXIXZ,0
328,IXXIYI,0
329,IXXIYX,0
330,IXXIYY,0
331,IXXIYZ,0
332,IXXIZI,0
333,IXXIZX,0
334,IXXIZY,0
335,IXXIZZ,0
336,IXXXII,0
337,IXXXIX,0
338,IXXXIY,0
339,IXXXIZ,0
340,IXXXXI,0
341,IXXXXX,0
342,IXXXXY,0
343,IXXXXZ,0
344,IXXXYI,0
345,IXXXYX,0
346,IXXXYY,0
347,IXXXYZ,0
348,IXXXZI,0
349,IXXXZX,0
350,IXXXZY,0
351,IXXXZZ,0
352,IXXYII,0
353,IXXYIX,0
354,IXXYIY,0
355,IXXYIZ,0
356,IXXYXI,0
357,IXXYXX,0
358,IXXYXY,0
359,IXXYXZ,0
360,IXXYYI,0
361,IXXYYX,0
362,IXXYYY,0
363,IXXYYZ,0
364,IXXYZI,0
365,IXXYZX,0
366,IXXYZY,0
367,IXXYZZ,0
368,IXXZII,0
369,IXXZIX,0
370,IXXZIY,0
371,IXXZIZ,0
372,IXXZXI,0
373,IXXZXX,0
374,IXXZXY,0
375,IXXZXZ,0
376,IXXZYI,0
377,IXXZYX,0
378,IXXZYY,0
379,IXXZYZ,0
380,IXXZZI,0
381,IXXZZX,0
382,IXXZZY,0
383,IXXZZZ,0
384,IXYIII,0
385,IXYIIX,0
386,IXYIIY,0
387,IXYIIZ,0
388,IXYIXI,0
389,IXYIXX,0
390,IXYIXY,0
391,IXYIXZ,0
392,IXYIYI,0
393,IXYIYX,0
394,IXYIYY,0
395,IXYIYZ,0
396,IXYIZI,0
397,IXYIZX,0
398,IXYIZY,0
399,IXYIZZ,0
400,IXYXII,0
401,IXYXIX,0
402,IXYXIY,0
403,IXYXIZ,0
404,IXYXXI,0
405,IXYXXX,0
406,IXYXXY,0
407,IXYXXZ,0
408,IXYXYI,0
409,IXYXYX,0
410,IXYXYY,0
411,IXYXYZ,0
412,IXYXZI,0
413,IXYXZX,0
414,IXYXZY,0
415,IXYXZZ,0
416,IXYYII,0
417,IXYYIX,0
418,IXYYIY,0
419,IXYYIZ,0
420,IXYYXI,0
421,IXYYXX,0
422,IXYYXY,0
423,IXYYXZ,0
424,IXYYYI,0
425,IXYYYX,0
426,IXYYYY,0
427,IXYYYZ,0
428,IXYYZI,0
429,IXYYZX,0
430,IXYYZY,0
431,IXYYZZ,0
432,IXYZII,0
433,IXYZIX,0
434,IXYZIY,0
435,IXYZIZ,0
436,IXYZXI,0
437,IXYZXX,0
438,IXYZXY,0
439,IXYZXZ,0
440,IXYZYI,0
441,IXYZYX,0
442,IXYZYY,0
443,IXYZYZ,0
444,IXYZZI,0
445,IXYZZX,0
446,IXYZZY,0
447,IXYZZZ,0
448,IXZIII,0
449,IXZIIX,0
450,IXZIIY,0
451,IXZIIZ,0
452,IXZIXI,0
453,IXZIXX,0
454,IXZIXY,0
455,IXZIXZ,0
456,IXZIYI,0
457,IXZIYX,0
458,IXZIYY,0
459,IXZIYZ,0
460,IXZIZI,0
461,IXZIZX,0
462,IXZIZY,0
463,IXZIZZ,0
464,IXZXII,0
465,IXZXIX,0
466,IXZXIY,0
467,IXZXIZ,0
468,IXZXXI,0
469,IXZXXX,0
470,IXZXXY,0
471,IXZXXZ,0
472,IXZXYI,0
473,IXZXYX,0
474,IXZXYY,0
475,IXZXYZ,0
476,IXZXZI,0
477,IXZXZX,0
478,IXZXZY,0
479,IXZXZZ,0
480,IXZYII,0
481,IXZYIX,0
482,IXZYIY,0
483,IXZYIZ,0
484,IXZYXI,0
485,IXZYXX,0
486,IXZYXY,0
487,IXZYXZ,0
488,IXZYYI,0
489,IXZYYX,0
490,IXZYYY,0
491,IXZYYZ,0
492,IXZYZI,0
