,names,exp vals
0,IIIIIII,1
1,IIIIIIX,0
2,IIIIIIY,0
3,IIIIIIZ,1
4,IIIIIXI,0
5,IIIIIXX,0
6,IIIIIXY,0
7,IIIIIXZ,0
8,IIIIIYI,0
9,IIIIIYX,0
10,IIIIIYY,0
11,IIIIIYZ,0
12,IIIIIZI,1
13,IIIIIZX,0
14,IIIIIZY,0
15,IIIIIZZ,1
16,IIIIXII,0
17,IIIIXIX,0
18,IIIIXIY,0
19,IIIIXIZ,0
20,IIIIXXI,0
21,IIIIXXX,0
22,IIIIXXY,0
23,IIIIXXZ,0
24,IIIIXYI,0
25,IIIIXYX,0
26,IIIIXYY,0
27,IIIIXYZ,0
28,IIIIXZI,0
29,IIIIXZX,0
30,IIIIXZY,0
31,IIIIXZZ,0
32,IIIIYII,0
33,IIIIYIX,0
34,IIIIYIY,0
35,IIIIYIZ,0
36,IIIIYXI,0
37,IIIIYXX,0
38,IIIIYXY,0
39,IIIIYXZ,0
40,IIIIYYI,0
41,IIIIYYX,0
42,IIIIYYY,0
43,IIIIYYZ,0
44,IIIIYZI,0
45,IIIIYZX,0
46,IIIIYZY,0
47,IIIIYZZ,0
48,IIIIZII,1
49,IIIIZIX,0
50,IIIIZIY,0
51,IIIIZIZ,1
52,IIIIZXI,0
53,IIIIZXX,0
54,IIIIZXY,0
55,IIIIZXZ,0
56,IIIIZYI,0
57,IIIIZYX,0
58,IIIIZYY,0
59,IIIIZYZ,0
60,IIIIZZI,1
61,IIIIZZX,0
62,IIIIZZY,0
63,IIIIZZZ,1
64,IIIXIII,0
65,IIIXIIX,0
66,IIIXIIY,0
67,IIIXIIZ,0
68,IIIXIXI,0
69,IIIXIXX,0
70,IIIXIXY,0
71,IIIXIXZ,0
72,IIIXIYI,0
73,IIIXIYX,0
74,IIIXIYY,0
75,IIIXIYZ,0
76,IIIXIZI,0
77,IIIXIZX,0
78,IIIXIZY,0
79,IIIXIZZ,0
80,IIIXXII,0
81,IIIXXIX,0
82,IIIXXIY,0
83,IIIXXIZ,0
84,IIIXXXI,0
85,IIIXXXX,0
86,IIIXXXY,0
87,IIIXXXZ,0
88,IIIXXYI,0
