,names,exp vals
0,IIIIIIII,1
1,IIIIIIIX,0
2,IIIIIIIY,0
3,IIIIIIIZ,1
4,IIIIIIXI,0
5,IIIIIIXX,0
6,IIIIIIXY,0
7,IIIIIIXZ,0
8,IIIIIIYI,0
9,IIIIIIYX,0
10,IIIIIIYY,0
11,IIIIIIYZ,0
12,IIIIIIZI,1
13,IIIIIIZX,0
14,IIIIIIZY,0
15,IIIIIIZZ,1
16,IIIIIXII,0
17,IIIIIXIX,0
18,IIIIIXIY,0
19,IIIIIXIZ,0
20,IIIIIXXI,0
21,IIIIIXXX,0
22,IIIIIXXY,0
23,IIIIIXXZ,0
24,IIIIIXYI,0
25,IIIIIXYX,0
26,IIIIIXYY,0
27,IIIIIXYZ,0
28,IIIIIXZI,0
29,IIIIIXZX,0
30,IIIIIXZY,0
31,IIIIIXZZ,0
32,IIIIIYII,0
33,IIIIIYIX,0
34,IIIIIYIY,0
35,IIIIIYIZ,0
36,IIIIIYXI,0
37,IIIIIYXX,0
38,IIIIIYXY,0
39,IIIIIYXZ,0
40,IIIIIYYI,0
41,IIIIIYYX,0
42,IIIIIYYY,0
43,IIIIIYYZ,0
44,IIIIIYZI,0
45,IIIIIYZX,0
46,IIIIIYZY,0
47,IIIIIYZZ,0
48,IIIIIZII,1
49,IIIIIZIX,0
50,IIIIIZIY,0
51,IIIIIZIZ,1
52,IIIIIZXI,0
53,IIIIIZXX,0
54,IIIIIZXY,0
55,IIIIIZXZ,0
56,IIIIIZYI,0
57,IIIIIZYX,0
58,IIIIIZYY,0
59,IIIIIZYZ,0
60,IIIIIZZI,1
61,IIIIIZZX,0
62,IIIIIZZY,0
63,IIIIIZZZ,1
64,IIIIXIII,0
65,IIIIXIIX,0
66,IIIIXIIY,0
67,IIIIXIIZ,0
68,IIIIXIXI,0
69,IIIIXIXX,0
70,IIIIXIXY,0
71,IIIIXIXZ,0
72,IIIIXIYI,0
73,IIIIXIYX,0
74,IIIIXIYY,0
75,IIIIXIYZ,0
76,IIIIXIZI,0
77,IIIIXIZX,0
78,IIIIXIZY,0
79,IIIIXIZZ,0
80,IIIIXXII,0
81,IIIIXXIX,0
82,IIIIXXIY,0
83,IIIIXXIZ,0
84,IIIIXXXI,0
85,IIIIXXXX,0
86,IIIIXXXY,0
87,IIIIXXXZ,0
88,IIIIXXYI,0
89,IIIIXXYX,0
90,IIIIXXYY,0
91,IIIIXXYZ,0
92,IIIIXXZI,0
93,IIIIXXZX,0
94,IIIIXXZY,0
95,IIIIXXZZ,0
96,IIIIXYII,0
97,IIIIXYIX,0
98,IIIIXYIY,0
99,IIIIXYIZ,0
100,IIIIXYXI,0
101,IIIIXYXX,0
102,IIIIXYXY,0
103,IIIIXYXZ,0
104,IIIIXYYI,0
105,IIIIXYYX,0
106,IIIIXYYY,0
107,IIIIXYYZ,0
108,IIIIXYZI,0
109,IIIIXYZX,0
110,IIIIXYZY,0
111,IIIIXYZZ,0
112,IIIIXZII,0
113,IIIIXZIX,0
114,IIIIXZIY,0
115,IIIIXZIZ,0
116,IIIIXZXI,0
117,IIIIXZXX,0
118,IIIIXZXY,0
119,IIIIXZXZ,0
