,names,exp vals
0,IIIII,(1+0j)
1,IIIIX,0j
2,IIIIY,0j
3,IIIIZ,(1+0j)
4,IIIXI,0j
5,IIIXX,0j
6,IIIXY,0j
7,IIIXZ,0j
8,IIIYI,0j
9,IIIYX,0j
10,IIIYY,0j
11,IIIYZ,0j
12,IIIZI,(1+0j)
13,IIIZX,0j
14,IIIZY,0j
15,IIIZZ,(1+0j)
16,IIXII,0j
17,IIXIX,0j
18,IIXIY,0j
19,IIXIZ,0j
20,IIXXI,0j
21,IIXXX,0j
22,IIXXY,0j
23,IIXXZ,0j
24,IIXYI,0j
25,IIXYX,0j
26,IIXYY,0j
27,IIXYZ,0j
28,IIXZI,0j
29,IIXZX,0j
30,IIXZY,0j
31,IIXZZ,0j
32,IIYII,0j
33,IIYIX,0j
34,IIYIY,0j
35,IIYIZ,0j
36,IIYXI,0j
37,IIYXX,0j
38,IIYXY,0j
39,IIYXZ,0j
40,IIYYI,0j
41,IIYYX,0j
42,IIYYY,0j
43,IIYYZ,0j
44,IIYZI,0j
45,IIYZX,0j
46,IIYZY,0j
47,IIYZZ,0j
48,IIZII,(1+0j)
49,IIZIX,0j
50,IIZIY,0j
51,IIZIZ,(1+0j)
52,IIZXI,0j
53,IIZXX,0j
54,IIZXY,0j
55,IIZXZ,0j
56,IIZYI,0j
57,IIZYX,0j
58,IIZYY,0j
59,IIZYZ,0j
60,IIZZI,(1+0j)
61,IIZZX,0j
62,IIZZY,0j
63,IIZZZ,(1+0j)
64,IXIII,0j
65,IXIIX,0j
66,IXIIY,0j
67,IXIIZ,0j
68,IXIXI,0j
69,IXIXX,0j
70,IXIXY,0j
71,IXIXZ,0j
72,IXIYI,0j
73,IXIYX,0j
74,IXIYY,0j
75,IXIYZ,0j
76,IXIZI,0j
77,IXIZX,0j
78,IXIZY,0j
79,IXIZZ,0j
80,IXXII,0j
81,IXXIX,0j
82,IXXIY,0j
83,IXXIZ,0j
84,IXXXI,0j
85,IXXXX,0j
86,IXXXY,0j
87,IXXXZ,0j
88,IXXYI,0j
89,IXXYX,0j
90,IXXYY,0j
91,IXXYZ,0j
92,IXXZI,0j
93,IXXZX,0j
94,IXXZY,0j
95,IXXZZ,0j
96,IXYII,0j
97,IXYIX,0j
98,IXYIY,0j
99,IXYIZ,0j
100,IXYXI,0j
101,IXYXX,0j
102,IXYXY,0j
103,IXYXZ,0j
104,IXYYI,0j
105,IXYYX,0j
106,IXYYY,0j
107,IXYYZ,0j
108,IXYZI,0j
109,IXYZX,0j
110,IXYZY,0j
111,IXYZZ,0j
112,IXZII,0j
113,IXZIX,0j
114,IXZIY,0j
115,IXZIZ,0j
116,IXZXI,0j
117,IXZXX,0j
118,IXZXY,0j
119,IXZXZ,0j
120,IXZYI,0j
121,IXZYX,0j
122,IXZYY,0j
123,IXZYZ,0j
124,IXZZI,0j
125,IXZZX,0j
126,IXZZY,0j
127,IXZZZ,0j
128,IYIII,0j
129,IYIIX,0j
130,IYIIY,0j
131,IYIIZ,0j
132,IYIXI,0j
133,IYIXX,0j
134,IYIXY,0j
135,IYIXZ,0j
136,IYIYI,0j
137,IYIYX,0j
138,IYIYY,0j
139,IYIYZ,0j
140,IYIZI,0j
141,IYIZX,0j
142,IYIZY,0j
143,IYIZZ,0j
144,IYXII,0j
145,IYXIX,0j
146,IYXIY,0j
147,IYXIZ,0j
148,IYXXI,0j
149,IYXXX,0j
150,IYXXY,0j
151,IYXXZ,0j
152,IYXYI,0j
153,IYXYX,0j
154,IYXYY,0j
155,IYXYZ,0j
156,IYXZI,0j
157,IYXZX,0j
158,IYXZY,0j
159,IYXZZ,0j
160,IYYII,0j
161,IYYIX,0j
162,IYYIY,0j
163,IYYIZ,0j
164,IYYXI,0j
165,IYYXX,0j
166,IYYXY,0j
167,IYYXZ,0j
168,IYYYI,0j
169,IYYYX,0j
170,IYYYY,0j
171,IYYYZ,0j
172,IYYZI,0j
173,IYYZX,0j
174,IYYZY,0j
175,IYYZZ,0j
176,IYZII,0j
177,IYZIX,0j
178,IYZIY,0j
179,IYZIZ,0j
180,IYZXI,0j
181,IYZXX,0j
182,IYZXY,0j
183,IYZXZ,0j
184,IYZYI,0j
185,IYZYX,0j
186,IYZYY,0j
187,IYZYZ,0j
188,IYZZI,0j
189,IYZZX,0j
190,IYZZY,0j
191,IYZZZ,0j
192,IZIII,(1+0j)
193,IZIIX,0j
194,IZIIY,0j
195,IZIIZ,(1+0j)
196,IZIXI,0j
197,IZIXX,0j
198,IZIXY,0j
199,IZIXZ,0j
200,IZIYI,0j
201,IZIYX,0j
202,IZIYY,0j
203,IZIYZ,0j
204,IZIZI,(1+0j)
205,IZIZX,0j
206,IZIZY,0j
207,IZIZZ,(1+0j)
208,IZXII,0j
209,IZXIX,0j
210,IZXIY,0j
211,IZXIZ,0j
212,IZXXI,0j
213,IZXXX,0j
214,IZXXY,0j
215,IZXXZ,0j
216,IZXYI,0j
217,IZXYX,0j
218,IZXYY,0j
219,IZXYZ,0j
220,IZXZI,0j
221,IZXZX,0j
222,IZXZY,0j
223,IZXZZ,0j
224,IZYII,0j
225,IZYIX,0j
226,IZYIY,0j
227,IZYIZ,0j
228,IZYXI,0j
229,IZYXX,0j
230,IZYXY,0j
231,IZYXZ,0j
232,IZYYI,0j
233,IZYYX,0j
234,IZYYY,0j
235,IZYYZ,0j
236,IZYZI,0j
237,IZYZX,0j
238,IZYZY,0j
239,IZYZZ,0j
240,IZZII,(1+0j)
241,IZZIX,0j
242,IZZIY,0j
243,IZZIZ,(1+0j)
244,IZZXI,0j
245,IZZXX,0j
246,IZZXY,0j
247,IZZXZ,0j
248,IZZYI,0j
249,IZZYX,0j
250,IZZYY,0j
251,IZZYZ,0j
252,IZZZI,(1+0j)
253,IZZZX,0j
254,IZZZY,0j
255,IZZZZ,(1+0j)
256,XIIII,0j
257,XIIIX,0j
258,XIIIY,0j
259,XIIIZ,0j
260,XIIXI,0j
261,XIIXX,0j
262,XIIXY,0j
263,XIIXZ,0j
264,XIIYI,0j
265,XIIYX,0j
266,XIIYY,0j
267,XIIYZ,0j
268,XIIZI,0j
269,XIIZX,0j
270,XIIZY,0j
271,XIIZZ,0j
272,XIXII,0j
273,XIXIX,0j
274,XIXIY,0j
275,XIXIZ,0j
276,XIXXI,0j
277,XIXXX,0j
278,XIXXY,0j
279,XIXXZ,0j
280,XIXYI,0j
281,XIXYX,0j
282,XIXYY,0j
283,XIXYZ,0j
284,XIXZI,0j
285,XIXZX,0j
286,XIXZY,0j
287,XIXZZ,0j
288,XIYII,0j
289,XIYIX,0j
290,XIYIY,0j
291,XIYIZ,0j
292,XIYXI,0j
