,names,exp vals
0,III,(1+0j)
1,IIX,0j
2,IIY,0j
3,IIZ,(1+0j)
4,IXI,0j
5,IXX,0j
6,IXY,0j
7,IXZ,0j
8,IYI,0j
9,IYX,0j
10,IYY,0j
11,IYZ,0j
12,IZI,(1+0j)
13,IZX,0j
14,IZY,0j
15,IZZ,(1+0j)
16,XII,0j
17,XIX,0j
18,XIY,0j
19,XIZ,0j
20,XXI,0j
21,XXX,0j
22,XXY,0j
23,XXZ,0j
24,XYI,0j
25,XYX,0j
26,XYY,0j
27,XYZ,0j
28,XZI,0j
29,XZX,0j
30,XZY,0j
31,XZZ,0j
32,YII,0j
33,YIX,0j
34,YIY,0j
35,YIZ,0j
36,YXI,0j
37,YXX,0j
38,YXY,0j
39,YXZ,0j
40,YYI,0j
41,YYX,0j
42,YYY,0j
43,YYZ,0j
44,YZI,0j
45,YZX,0j
46,YZY,0j
47,YZZ,0j
48,ZII,(1+0j)
49,ZIX,0j
50,ZIY,0j
51,ZIZ,(1+0j)
52,ZXI,0j
53,ZXX,0j
54,ZXY,0j
55,ZXZ,0j
56,ZYI,0j
57,ZYX,0j
58,ZYY,0j
59,ZYZ,0j
60,ZZI,(1+0j)
61,ZZX,0j
62,ZZY,0j
63,ZZZ,(1+0j)
64,III,0j
65,IIX,0j
66,IIY,0j
67,IIZ,0j
68,IXI,0j
69,IXX,0j
70,IXY,0j
71,IXZ,0j
72,IYI,0j
73,IYX,0j
74,IYY,0j
75,IYZ,0j
76,IZI,0j
77,IZX,0j
78,IZY,0j
79,IZZ,0j
80,XII,0j
81,XIX,0j
82,XIY,0j
83,XIZ,0j
84,XXI,0j
85,XXX,0j
86,XXY,0j
87,XXZ,0j
88,XYI,0j
89,XYX,0j
90,XYY,0j
91,XYZ,0j
92,XZI,0j
93,XZX,0j
94,XZY,0j
95,XZZ,0j
96,YII,0j
97,YIX,0j
98,YIY,0j
99,YIZ,0j
100,YXI,0j
101,YXX,0j
102,YXY,0j
103,YXZ,0j
104,YYI,0j
105,YYX,0j
106,YYY,0j
107,YYZ,0j
108,YZI,0j
109,YZX,0j
110,YZY,0j
111,YZZ,0j
112,ZII,0j
113,ZIX,0j
114,ZIY,0j
115,ZIZ,0j
116,ZXI,0j
117,ZXX,0j
118,ZXY,0j
119,ZXZ,0j
120,ZYI,0j
121,ZYX,0j
122,ZYY,0j
123,ZYZ,0j
124,ZZI,0j
125,ZZX,0j
126,ZZY,0j
127,ZZZ,0j
