,ground energy
0,-4.961291453546324
1,-4.997724685207997
2,-4.842172347867591
3,-5.187515406988959
4,-4.74845074081543
5,-4.669954848979186
6,-5.352869705236528
7,-4.562414873342995
8,-4.5259155744996455
9,-5.2024310880931095
